gene,classification
TNNC2,protein
TNNI1,protein
TNNI2,protein
TNNI3,protein
TNNI3K,protein
TNNT1,protein
TNNT2,protein
TNNT3,protein
TNP1,protein
TNP2,protein
TNPO1,protein
TNPO2,protein
TNPO3,protein
TNR,protein
TNRC18,protein
TNRC6A,protein
TNRC6B,protein
TNRC6C,protein
TNS1,protein
TNS2,protein
TNS3,protein
TNS4,protein
TNXA,protein
TNXB,protein
TOB1,protein
TOB2,protein
TOE1,protein
TOGARAM1,protein
TOGARAM2,protein
TOLLIP,protein
TOM1,protein
TOM1L1,protein
TOM1L2,protein
TOMM20,protein
TOMM20L,protein
TOMM22,protein
TOMM34,protein
TOMM40,protein
TOMM40L,protein
TOMM5,protein
TOMM6,protein
TOMM7,protein
TOMM70,protein
TONSL,protein
TOP1,protein
TOP1MT,protein
TOP2A,protein
TOP2B,protein
TOP3A,protein
TOP3B,protein
TOPAZ1,protein
TOPBP1,protein
TOPORS,protein
TOR1A,protein
TOR1AIP1,protein
TOR1AIP2,protein
TOR1B,protein
TOR2A,protein
TOR3A,protein
TOR4A,protein
TOX,protein
TOX2,protein
TOX3,protein
TOX4,protein
TP53,protein
TP53AIP1,protein
TP53BP1,protein
TP53BP2,protein
TP53I11,protein
TP53I13,protein
TP53I3,protein
TP53INP1,protein
TP53INP2,protein
TP53RK,protein
TP53TG3,protein
TP53TG3F,protein
TP53TG5,protein
TP63,protein
TP73,protein
TPBG,protein
TPBGL,protein
TPCN1,protein
TPCN2,protein
TPD52,protein
TPD52L1,protein
TPD52L2,protein
TPD52L3,protein
TPGS1,protein
TPGS2,protein
TPH1,protein
TPH2,protein
TPI1,protein
TPK1,protein
TPM1,protein
TPM2,protein
TPM3,protein
TPM4,protein
TPMT,protein
TPO,protein
TPP1,protein
TPP2,protein
TPPP,protein
TPPP2,protein
TPPP3,protein
TPR,protein
TPRA1,protein
TPRG1,protein
TPRG1L,protein
TPRKB,protein
TPRN,protein
TPRX1,protein
TPRXL,protein
TPSAB1,protein
TPSB2,protein
TPSD1,protein
TPSG1,protein
TPST1,protein
TPST2,protein
TPT1,protein
TPT1P8,protein
TPTE,protein
TPTE2,protein
TPTE2P1,protein
TPX2,protein
TRA2A,protein
TRA2B,protein
TRABD,protein
TRABD2A,protein
TRABD2B,protein
TRAC,protein
TRADD,protein
TRAF1,protein
TRAF2,protein
TRAF3,protein
TRAF3IP1,protein
TRAF3IP2,protein
TRAF3IP3,protein
TRAF4,protein
TRAF5,protein
TRAF6,protein
TRAF7,protein
TRAFD1,protein
TRAIP,protein
TRAK1,protein
TRAK2,protein
TRAM1,protein
TRAM1L1,protein
TRAM2,protein
TRANK1,protein
TRAP1,protein
TRAPPC1,protein
TRAPPC10,protein
TRAPPC11,protein
TRAPPC12,protein
TRAPPC13,protein
TRAPPC2,protein
TRAPPC2B,protein
TRAPPC2L,protein
TRAPPC3,protein
TRAPPC3L,protein
TRAPPC4,protein
TRAPPC5,protein
TRAPPC6A,protein
TRAPPC6B,protein
TRAPPC8,protein
TRAPPC9,protein
TRARG1,protein
TRAT1,protein
TRAV1-1,protein
TRAV1-2,protein
TRAV10,protein
TRAV12-1,protein
TRAV12-2,protein
TRAV12-3,protein
TRAV13-1,protein
TRAV13-2,protein
TRAV14DV4,protein
TRAV16,protein
TRAV17,protein
TRAV18,protein
TRAV19,protein
TRAV2,protein
TRAV20,protein
TRAV21,protein
TRAV22,protein
TRAV23DV6,protein
TRAV24,protein
TRAV25,protein
TRAV26-1,protein
TRAV26-2,protein
TRAV27,protein
TRAV29DV5,protein
TRAV3,protein
TRAV30,protein
TRAV34,protein
TRAV35,protein
TRAV36DV7,protein
TRAV38-1,protein
TRAV38-2DV8,protein
TRAV39,protein
TRAV4,protein
TRAV40,protein
TRAV41,protein
TRAV5,protein
TRAV6,protein
TRAV7,protein
TRAV8-1,protein
TRAV8-2,protein
TRAV8-3,protein
TRAV8-4,protein
TRAV8-6,protein
TRAV9-1,protein
TRAV9-2,protein
TRBC1,protein
TRBC2,protein
TRBV10-1,protein
TRBV10-2,protein
TRBV10-3,protein
TRBV11-1,protein
TRBV11-2,protein
TRBV11-3,protein
TRBV12-3,protein
TRBV12-4,protein
TRBV12-5,protein
TRBV13,protein
TRBV14,protein
TRBV16,protein
TRBV17,protein
TRBV18,protein
TRBV19,protein
TRBV2,protein
TRBV20-1,protein
TRBV23-1,protein
TRBV24-1,protein
TRBV25-1,protein
TRBV27,protein
TRBV28,protein
TRBV29-1,protein
TRBV3-1,protein
TRBV30,protein
TRBV4-1,protein
TRBV4-2,protein
TRBV5-1,protein
TRBV5-3,protein
TRBV5-4,protein
TRBV5-5,protein
TRBV5-6,protein
TRBV5-7,protein
TRBV6-1,protein
TRBV6-2,protein
TRBV6-4,protein
TRBV6-5,protein
TRBV6-6,protein
TRBV6-7,protein
TRBV6-8,protein
TRBV7-1,protein
TRBV7-2,protein
TRBV7-3,protein
TRBV7-4,protein
TRBV7-6,protein
TRBV7-7,protein
TRBV7-9,protein
TRBV9,protein
TRDC,protein
TRDMT1,protein
TRDN,protein
TRDV1,protein
TRDV2,protein
TRDV3,protein
TREH,protein
TREM1,protein
TREM2,protein
TREML1,protein
TREML2,protein
TREML4,protein
TRERF1,protein
TREX1,protein
TREX2,protein
TRGC1,protein
TRGC2,protein
TRGV1,protein
TRGV10,protein
TRGV11,protein
TRGV2,protein
TRGV3,protein
TRGV4,protein
TRGV5,protein
TRGV8,protein
TRGV9,protein
TRH,protein
TRHDE,protein
TRHR,protein
TRIAP1,protein
TRIB1,protein
TRIB2,protein
TRIB3,protein
TRIL,protein
TRIM10,protein
TRIM11,protein
TRIM13,protein
TRIM14,protein
TRIM15,protein
TRIM16,protein
TRIM16L,protein
TRIM17,protein
TRIM2,protein
TRIM21,protein
TRIM22,protein
TRIM23,protein
TRIM24,protein
TRIM25,protein
TRIM26,protein
TRIM27,protein
TRIM28,protein
TRIM29,protein
TRIM3,protein
TRIM31,protein
TRIM32,protein
TRIM33,protein
TRIM34,protein
TRIM35,protein
TRIM36,protein
TRIM37,protein
TRIM38,protein
TRIM39,protein
TRIM4,protein
TRIM40,protein
TRIM41,protein
TRIM42,protein
TRIM43,protein
TRIM43B,protein
TRIM44,protein
TRIM45,protein
TRIM46,protein
TRIM47,protein
TRIM48,protein
TRIM49,protein
TRIM49B,protein
TRIM49C,protein
TRIM49D1,protein
TRIM49D2,protein
TRIM5,protein
TRIM50,protein
TRIM51,protein
TRIM51GP,protein
TRIM52,protein
TRIM54,protein
TRIM55,protein
TRIM56,protein
TRIM58,protein
TRIM59,protein
TRIM6,protein
TRIM60,protein
TRIM61,protein
TRIM62,protein
TRIM63,protein
TRIM64,protein
TRIM64B,protein
TRIM64C,protein
TRIM65,protein
TRIM66,protein
TRIM67,protein
TRIM68,protein
TRIM69,protein
TRIM7,protein
TRIM71,protein
TRIM72,protein
TRIM73,protein
TRIM74,protein
TRIM75P,protein
TRIM77,protein
TRIM8,protein
TRIM9,protein
TRIML1,protein
TRIML2,protein
TRIO,protein
TRIOBP,protein
TRIP10,protein
TRIP11,protein
TRIP12,protein
TRIP13,protein
TRIP4,protein
TRIP6,protein
TRIQK,protein
TRIR,protein
TRIT1,protein
TRMO,protein
TRMT1,protein
TRMT10A,protein
TRMT10B,protein
TRMT10C,protein
TRMT11,protein
TRMT112,protein
TRMT12,protein
TRMT13,protein
TRMT1L,protein
TRMT2A,protein
TRMT2B,protein
TRMT44,protein
TRMT5,protein
TRMT6,protein
TRMT61A,protein
TRMT61B,protein
TRMT9B,protein
TRMU,protein
TRNAU1AP,protein
TRNP1,protein
TRNT1,protein
TRO,protein
TROAP,protein
TRPA1,protein
TRPC1,protein
TRPC3,protein
TRPC4,protein
TRPC4AP,protein
TRPC5,protein
TRPC5OS,protein
TRPC6,protein
TRPC7,protein
TRPM1,protein
TRPM2,protein
TRPM3,protein
TRPM4,protein
TRPM5,protein
TRPM6,protein
TRPM7,protein
TRPM8,protein
TRPS1,protein
TRPT1,protein
TRPV1,protein
TRPV2,protein
TRPV3,protein
TRPV4,protein
TRPV5,protein
TRPV6,protein
TRRAP,protein
TRUB1,protein
TRUB2,protein
TSACC,protein
TSBP1,protein
TSC1,protein
TSC2,protein
TSC22D1,protein
TSC22D2,protein
TSC22D3,protein
TSC22D4,protein
TSEN15,protein
TSEN2,protein
TSEN34,protein
TSEN54,protein
TSFM,protein
TSG101,protein
TSGA10,protein
TSGA10IP,protein
TSGA13,protein
TSHB,protein
TSHR,protein
TSHZ1,protein
TSHZ2,protein
TSHZ3,protein
TSKS,protein
TSKU,protein
TSLP,protein
TSN,protein
TSNARE1,protein
TSNAX,protein
TSNAXIP1,protein
TSPAN1,protein
TSPAN10,protein
TSPAN11,protein
TSPAN12,protein
TSPAN13,protein
TSPAN14,protein
TSPAN15,protein
TSPAN16,protein
TSPAN17,protein
TSPAN18,protein
TSPAN19,protein
TSPAN2,protein
TSPAN3,protein
TSPAN31,protein
TSPAN32,protein
TSPAN33,protein
TSPAN4,protein
TSPAN5,protein
TSPAN6,protein
TSPAN7,protein
TSPAN8,protein
TSPAN9,protein
TSPEAR,protein
TSPEAR-AS2,protein
TSPO,protein
TSPO2,protein
TSPOAP1,protein
TSPY1,protein
TSPY10,protein
TSPY2,protein
TSPY26P,protein
TSPY3,protein
TSPY4,protein
TSPY8,protein
TSPY9P,protein
TSPYL1,protein
TSPYL2,protein
TSPYL4,protein
TSPYL5,protein
TSPYL6,protein
TSR1,protein
TSR2,protein
TSR3,protein
TSSC4,protein
TSSK1B,protein
TSSK2,protein
TSSK3,protein
TSSK4,protein
TSSK6,protein
TST,protein
TSTA3,protein
TSTD1,protein
TSTD2,protein
TSTD3,protein
TTBK1,protein
TTBK2,protein
TTC1,protein
TTC12,protein
TTC13,protein
TTC14,protein
TTC16,protein
TTC17,protein
TTC19,protein
TTC21A,protein
TTC21B,protein
TTC22,protein
TTC23,protein
TTC23L,protein
TTC24,protein
TTC25,protein
TTC26,protein
TTC27,protein
TTC28,protein
TTC29,protein
TTC3,protein
TTC30A,protein
TTC30B,protein
TTC31,protein
TTC32,protein
TTC33,protein
TTC34,protein
TTC36,protein
TTC37,protein
TTC38,protein
TTC39A,protein
TTC39B,protein
TTC39C,protein
TTC4,protein
TTC41P,protein
TTC5,protein
TTC6,protein
TTC7A,protein
TTC7B,protein
TTC8,protein
TTC9,protein
TTC9B,protein
TTC9C,protein
TTF1,protein
TTF2,protein
TTI1,protein
TTI2,protein
TTK,protein
TTL,protein
TTLL1,protein
TTLL10,protein
TTLL11,protein
TTLL12,protein
TTLL13P,protein
TTLL2,protein
TTLL3,protein
TTLL4,protein
TTLL5,protein
TTLL6,protein
TTLL7,protein
TTLL8,protein
TTLL9,protein
TTN,protein
TTPA,protein
TTPAL,protein
TTR,protein
TTTY10,protein
TTTY12,protein
TTTY13,protein
TTYH1,protein
TTYH2,protein
TTYH3,protein
TUB,protein
TUBA1A,protein
TUBA1B,protein
TUBA1C,protein
TUBA3C,protein
TUBA3D,protein
TUBA3E,protein
TUBA4A,protein
TUBA4B,protein
TUBA8,protein
TUBAL3,protein
TUBB,protein
TUBB1,protein
TUBB2A,protein
TUBB2B,protein
TUBB3,protein
TUBB4A,protein
TUBB4B,protein
TUBB6,protein
TUBB8,protein
TUBB8B,protein
TUBD1,protein
TUBE1,protein
TUBG1,protein
TUBG2,protein
TUBGCP2,protein
TUBGCP3,protein
TUBGCP4,protein
TUBGCP5,protein
TUBGCP6,protein
TUFM,protein
TUFT1,protein
TUG1,protein
TULP1,protein
TULP2,protein
TULP3,protein
TULP4,protein
TUNAR,protein
TUSC1,protein
TUSC2,protein
TUSC3,protein
TUT1,protein
TUT4,protein
TUT7,protein
TVP23A,protein
TVP23B,protein
TVP23C,protein
TWF1,protein
TWF2,protein
TWIST1,protein
TWIST2,protein
TWISTNB,protein
TWNK,protein
TWSG1,protein
TXK,protein
TXLNA,protein
TXLNB,protein
TXLNG,protein
TXLNGY,protein
TXN,protein
TXN2,protein
TXNDC11,protein
TXNDC12,protein
TXNDC15,protein
TXNDC16,protein
TXNDC17,protein
TXNDC2,protein
TXNDC5,protein
TXNDC8,protein
TXNDC9,protein
TXNIP,protein
TXNL1,protein
TXNL4A,protein
TXNL4B,protein
TXNRD1,protein
TXNRD2,protein
TXNRD3,protein
TYK2,protein
TYMP,protein
TYMS,protein
TYMSOS,protein
TYR,protein
TYRO3,protein
TYROBP,protein
TYRP1,protein
TYSND1,protein
TYW1,protein
TYW1B,protein
TYW3,protein
TYW5,protein
U2AF1,protein
U2AF1L4,protein
U2AF2,protein
U2SURP,protein
UACA,protein
UAP1,protein
UAP1L1,protein
UBA1,protein
UBA2,protein
UBA3,protein
UBA5,protein
UBA52,protein
UBA6,protein
UBA7,protein
UBAC1,protein
UBAC2,protein
UBALD1,protein
UBALD2,protein
UBAP1,protein
UBAP1L,protein
UBAP2,protein
UBAP2L,protein
UBASH3A,protein
UBASH3B,protein
UBB,protein
UBC,protein
UBD,protein
UBE2A,protein
UBE2B,protein
UBE2C,protein
UBE2D1,protein
UBE2D2,protein
UBE2D3,protein
UBE2D4,protein
UBE2DNL,protein
UBE2E1,protein
UBE2E2,protein
UBE2E3,protein
UBE2F,protein
UBE2G1,protein
UBE2G2,protein
UBE2H,protein
UBE2I,protein
UBE2J1,protein
UBE2J2,protein
UBE2K,protein
UBE2L3,protein
UBE2L5,protein
UBE2L6,protein
UBE2M,protein
UBE2N,protein
UBE2NL,protein
UBE2O,protein
UBE2Q1,protein
UBE2Q2,protein
UBE2QL1,protein
UBE2R2,protein
UBE2S,protein
UBE2T,protein
UBE2U,protein
UBE2V1,protein
UBE2V2,protein
UBE2W,protein
UBE2Z,protein
UBE3A,protein
UBE3B,protein
UBE3C,protein
UBE3D,protein
UBE4A,protein
UBE4B,protein
UBFD1,protein
UBIAD1,protein
UBL3,protein
UBL4A,protein
UBL4B,protein
UBL5,protein
UBL7,protein
UBLCP1,protein
UBN1,protein
UBN2,protein
UBOX5,protein
UBP1,protein
UBQLN1,protein
UBQLN2,protein
UBQLN3,protein
UBQLN4,protein
UBQLNL,protein
UBR1,protein
UBR2,protein
UBR3,protein
UBR4,protein
UBR5,protein
UBR7,protein
UBTD1,protein
UBTD2,protein
UBTF,protein
UBTFL1,protein
UBTFL6,protein
UBXN1,protein
UBXN10,protein
UBXN11,protein
UBXN2A,protein
UBXN2B,protein
UBXN4,protein
UBXN6,protein
UBXN7,protein
UBXN8,protein
UCHL1,protein
UCHL3,protein
UCHL5,protein
UCK1,protein
UCK2,protein
UCKL1,protein
UCMA,protein
UCN,protein
UCN2,protein
UCN3,protein
UCP1,protein
UCP2,protein
UCP3,protein
UEVLD,protein
UFC1,protein
UFD1,protein
UFL1,protein
UFM1,protein
UFSP1,protein
UFSP2,protein
UGCG,protein
UGDH,protein
UGGT1,protein
UGGT2,protein
UGP2,protein
UGT1A1,protein
UGT1A10,protein
UGT1A3,protein
UGT1A4,protein
UGT1A5,protein
UGT1A6,protein
UGT1A7,protein
UGT1A8,protein
UGT1A9,protein
UGT2A1,protein
UGT2A2,protein
UGT2A3,protein
UGT2B10,protein
UGT2B11,protein
UGT2B15,protein
UGT2B17,protein
UGT2B28,protein
UGT2B4,protein
UGT2B7,protein
UGT3A1,protein
UGT3A2,protein
UGT8,protein
UHMK1,protein
UHRF1,protein
UHRF1BP1,protein
UHRF1BP1L,protein
UHRF2,protein
UIMC1,protein
ULBP1,protein
ULBP2,protein
ULBP3,protein
ULK1,protein
ULK2,protein
ULK3,protein
ULK4,protein
UMAD1,protein
UMOD,protein
UMODL1,protein
UMODL1-AS1,protein
UMPS,protein
UNC119,protein
UNC119B,protein
UNC13A,protein
UNC13B,protein
UNC13C,protein
UNC13D,protein
UNC45A,protein
UNC45B,protein
UNC50,protein
UNC5A,protein
UNC5B,protein
UNC5C,protein
UNC5CL,protein
UNC5D,protein
UNC79,protein
UNC80,protein
UNC93A,protein
UNC93B1,protein
UNCX,protein
UNG,protein
UNK,protein
UNKL,protein
UPB1,protein
UPF1,protein
UPF2,protein
UPF3A,protein
UPF3B,protein
UPK1A,protein
UPK1B,protein
UPK2,protein
UPK3A,protein
UPK3B,protein
UPK3BL1,protein
UPK3BL2,protein
UPP1,protein
UPP2,protein
UPRT,protein
UQCC1,protein
UQCC2,protein
UQCC3,protein
UQCR10,protein
UQCR11,protein
UQCRB,protein
UQCRC1,protein
UQCRC2,protein
UQCRFS1,protein
UQCRFS1P1,protein
UQCRH,protein
UQCRHL,protein
UQCRQ,protein
URAD,protein
URB1,protein
URB1-AS1,protein
URB2,protein
URGCP,protein
URI1,protein
URM1,protein
UROC1,protein
UROD,protein
UROS,protein
USB1,protein
USE1,protein
USF1,protein
USF2,protein
USF3,protein
USH1C,protein
USH1G,protein
USH2A,protein
USHBP1,protein
USO1,protein
USP1,protein
USP10,protein
USP11,protein
USP12,protein
USP13,protein
USP14,protein
USP15,protein
USP16,protein
USP17L1,protein
USP17L10,protein
USP17L11,protein
USP17L12,protein
USP17L13,protein
USP17L15,protein
USP17L17,protein
USP17L18,protein
USP17L19,protein
USP17L2,protein
USP17L20,protein
USP17L21,protein
USP17L22,protein
USP17L23,protein
USP17L24,protein
USP17L3,protein
USP17L30,protein
USP17L4,protein
USP17L5,protein
USP17L6P,protein
USP17L7,protein
USP17L8,protein
USP18,protein
USP19,protein
USP2,protein
USP20,protein
USP21,protein
USP22,protein
USP24,protein
USP25,protein
USP26,protein
USP27X,protein
USP28,protein
USP29,protein
USP3,protein
USP30,protein
USP31,protein
USP32,protein
USP33,protein
USP34,protein
USP35,protein
USP36,protein
USP37,protein
USP38,protein
USP39,protein
USP4,protein
USP40,protein
USP42,protein
USP43,protein
USP44,protein
USP45,protein
USP46,protein
USP47,protein
USP48,protein
USP49,protein
USP5,protein
USP50,protein
USP51,protein
USP53,protein
USP54,protein
USP6,protein
USP6NL,protein
USP7,protein
USP8,protein
USP9X,protein
USP9Y,protein
USPL1,protein
UST,protein
UTF1,protein
UTP11,protein
UTP14A,protein
UTP14C,protein
UTP15,protein
UTP18,protein
UTP20,protein
UTP23,protein
UTP25,protein
UTP3,protein
UTP4,protein
UTP6,protein
UTRN,protein
UTS2,protein
UTS2B,protein
UTS2R,protein
UTY,protein
UVRAG,protein
UVSSA,protein
UXS1,protein
UXT,protein
VAC14,protein
VAMP1,protein
VAMP2,protein
VAMP3,protein
VAMP4,protein
VAMP5,protein
VAMP7,protein
VAMP8,protein
VANGL1,protein
VANGL2,protein
VAPA,protein
VAPB,protein
VARS1,protein
VARS2,protein
VASH1,protein
VASH2,protein
VASN,protein
VASP,protein
VAT1,protein
VAT1L,protein
VAV1,protein
VAV2,protein
VAV3,protein
VAX1,protein
VAX2,protein
VBP1,protein
VCAM1,protein
VCAN,protein
VCL,protein
VCP,protein
VCPIP1,protein
VCPKMT,protein
VCX,protein
VCX2,protein
VCX3A,protein
VCX3B,protein
VCY,protein
VCY1B,protein
VDAC1,protein
VDAC2,protein
VDAC3,protein
VDR,protein
VEGFA,protein
VEGFB,protein
VEGFC,protein
VEGFD,protein
VENTX,protein
VENTXP1,protein
VEPH1,protein
VEZF1,protein
VEZT,protein
VGF,protein
VGLL1,protein
VGLL2,protein
VGLL3,protein
VGLL4,protein
VHL,protein
VHLL,protein
VIL1,protein
VILL,protein
VIM,protein
VIP,protein
VIPAS39,protein
VIPR1,protein
VIPR2,protein
VIRMA,protein
VIT,protein
VKORC1,protein
VKORC1L1,protein
VLDLR,protein
VMA21,protein
VMAC,protein
VMO1,protein
VMP1,protein
VN1R1,protein
VN1R17P,protein
VN1R2,protein
VN1R3,protein
VN1R4,protein
VN1R5,protein
VNN1,protein
VNN2,protein
VOPP1,protein
VPREB1,protein
VPREB3,protein
VPS11,protein
VPS13A,protein
VPS13B,protein
VPS13C,protein
VPS13D,protein
VPS16,protein
VPS18,protein
VPS25,protein
VPS26A,protein
VPS26B,protein
VPS26C,protein
VPS28,protein
VPS29,protein
VPS33A,protein
VPS33B,protein
VPS35,protein
VPS35L,protein
VPS36,protein
VPS37A,protein
VPS37B,protein
VPS37C,protein
VPS37D,protein
VPS39,protein
VPS41,protein
VPS45,protein
VPS4A,protein
VPS4B,protein
VPS50,protein
VPS51,protein
VPS52,protein
VPS53,protein
VPS54,protein
VPS72,protein
VPS8,protein
VPS9D1,protein
VRK1,protein
VRK2,protein
VRK3,protein
VRTN,protein
VSIG1,protein
VSIG10,protein
VSIG10L,protein
VSIG10L2,protein
VSIG2,protein
VSIG4,protein
VSIG8,protein
VSIR,protein
VSNL1,protein
VSTM1,protein
VSTM2A,protein
VSTM2B,protein
VSTM2L,protein
VSTM4,protein
VSTM5,protein
VSX1,protein
VSX2,protein
VTA1,protein
VTCN1,protein
VTI1A,protein
VTI1B,protein
VTN,protein
VWA1,protein
VWA2,protein
VWA3A,protein
VWA3B,protein
VWA5A,protein
VWA5B1,protein
VWA5B2,protein
VWA7,protein
VWA8,protein
VWC2,protein
VWC2L,protein
VWCE,protein
VWDE,protein
VWF,protein
VXN,protein
WAC,protein
WAPL,protein
WARS1,protein
WARS2,protein
WAS,protein
WASF1,protein
WASF2,protein
WASF3,protein
WASH2P,protein
WASH3P,protein
WASH4P,protein
WASH6P,protein
WASHC1,protein
WASHC2A,protein
WASHC2C,protein
WASHC3,protein
WASHC4,protein
WASHC5,protein
WASL,protein
WBP1,protein
WBP11,protein
WBP1L,protein
WBP2,protein
WBP2NL,protein
WBP4,protein
WDCP,protein
WDFY1,protein
WDFY2,protein
WDFY3,protein
WDFY4,protein
WDHD1,protein
WDPCP,protein
WDR1,protein
WDR11,protein
WDR12,protein
WDR13,protein
WDR17,protein
WDR18,protein
WDR19,protein
WDR20,protein
WDR24,protein
WDR25,protein
WDR26,protein
WDR27,protein
WDR3,protein
WDR31,protein
WDR33,protein
WDR34,protein
WDR35,protein
WDR36,protein
WDR37,protein
WDR38,protein
WDR4,protein
WDR41,protein
WDR43,protein
WDR44,protein
WDR45,protein
WDR45B,protein
WDR46,protein
WDR47,protein
WDR48,protein
WDR49,protein
WDR5,protein
WDR53,protein
WDR54,protein
WDR55,protein
WDR59,protein
WDR5B,protein
WDR6,protein
WDR60,protein
WDR61,protein
WDR62,protein
WDR63,protein
WDR64,protein
WDR66,protein
WDR7,protein
WDR70,protein
WDR72,protein
WDR73,protein
WDR74,protein
WDR75,protein
WDR76,protein
WDR77,protein
WDR78,protein
WDR81,protein
WDR82,protein
WDR83,protein
WDR83OS,protein
WDR86,protein
WDR87,protein
WDR88,protein
WDR89,protein
WDR90,protein
WDR91,protein
WDR92,protein
WDR93,protein
WDR97,protein
WDSUB1,protein
WDTC1,protein
WDYHV1,protein
WEE1,protein
WEE2,protein
WFDC1,protein
WFDC10A,protein
WFDC10B,protein
WFDC11,protein
WFDC12,protein
WFDC13,protein
WFDC2,protein
WFDC3,protein
WFDC5,protein
WFDC6,protein
WFDC8,protein
WFDC9,protein
WFIKKN1,protein
WFIKKN2,protein
WFS1,protein
WHAMM,protein
WHAMMP3,protein
WHRN,protein
WIF1,protein
WIPF1,protein
WIPF2,protein
WIPF3,protein
WIPI1,protein
WIPI2,protein
WIZ,protein
WLS,protein
WNK1,protein
WNK2,protein
WNK3,protein
WNK4,protein
WNT1,protein
WNT10A,protein
WNT10B,protein
WNT11,protein
WNT16,protein
WNT2,protein
WNT2B,protein
WNT3,protein
WNT3A,protein
WNT4,protein
WNT5A,protein
WNT5B,protein
WNT6,protein
WNT7A,protein
WNT7B,protein
WNT8A,protein
WNT8B,protein
WNT9A,protein
WNT9B,protein
WRAP53,protein
WRAP73,protein
WRN,protein
WRNIP1,protein
WSB1,protein
WSB2,protein
WSCD1,protein
WSCD2,protein
WT1,protein
WT1-AS,protein
WTAP,protein
WTIP,protein
WWC1,protein
WWC2,protein
WWC2-AS2,protein
WWC3,protein
WWOX,protein
WWP1,protein
WWP2,protein
WWTR1,protein
XAB2,protein
XAF1,protein
XAGE1A,protein
XAGE1B,protein
XAGE2,protein
XAGE3,protein
XAGE5,protein
XBP1,protein
XCL1,protein
XCL2,protein
XCR1,protein
XDH,protein
XG,protein
XIAP,protein
XIRP1,protein
XIRP2,protein
XK,protein
XKR3,protein
XKR4,protein
XKR5,protein
XKR6,protein
XKR7,protein
XKR8,protein
XKR9,protein
XKRX,protein
XKRY,protein
XPA,protein
XPC,protein
XPNPEP1,protein
XPNPEP2,protein
XPNPEP3,protein
XPO1,protein
XPO4,protein
XPO5,protein
XPO6,protein
XPO7,protein
XPOT,protein
XPR1,protein
XRCC1,protein
XRCC2,protein
XRCC3,protein
XRCC4,protein
XRCC5,protein
XRCC6,protein
XRN1,protein
XRN2,protein
XRRA1,protein
XXYLT1,protein
XYLB,protein
XYLT1,protein
XYLT2,protein
YAE1,protein
YAF2,protein
YAP1,protein
YARS1,protein
YARS2,protein
YBEY,protein
YBX1,protein
YBX2,protein
YBX3,protein
YDJC,protein
YEATS2,protein
YEATS4,protein
YES1,protein
YIF1A,protein
YIF1B,protein
YIPF1,protein
YIPF2,protein
YIPF3,protein
YIPF4,protein
YIPF5,protein
YIPF6,protein
YIPF7,protein
YJEFN3,protein
YJU2,protein
YKT6,protein
YLPM1,protein
YME1L1,protein
YOD1,protein
YPEL1,protein
YPEL2,protein
YPEL3,protein
YPEL4,protein
YPEL5,protein
YRDC,protein
YTHDC1,protein
YTHDC2,protein
YTHDF1,protein
YTHDF2,protein
YTHDF3,protein
YWHAB,protein
YWHAE,protein
YWHAG,protein
YWHAH,protein
YWHAQ,protein
YWHAZ,protein
YY1,protein
YY1AP1,protein
YY2,protein
ZACN,protein
ZADH2,protein
ZAN,protein
ZAP70,protein
ZAR1,protein
ZAR1L,protein
ZBBX,protein
ZBED1,protein
ZBED2,protein
ZBED3,protein
ZBED4,protein
ZBED5,protein
ZBED6,protein
ZBED6CL,protein
ZBED8,protein
ZBED9,protein
ZBP1,protein
ZBTB1,protein
ZBTB10,protein
ZBTB11,protein
ZBTB12,protein
ZBTB14,protein
ZBTB16,protein
ZBTB17,protein
ZBTB18,protein
ZBTB2,protein
ZBTB20,protein
ZBTB21,protein
ZBTB22,protein
ZBTB24,protein
ZBTB25,protein
ZBTB26,protein
ZBTB3,protein
ZBTB32,protein
ZBTB33,protein
ZBTB34,protein
ZBTB37,protein
ZBTB38,protein
ZBTB39,protein
ZBTB4,protein
ZBTB40,protein
ZBTB41,protein
ZBTB42,protein
ZBTB43,protein
ZBTB44,protein
ZBTB45,protein
ZBTB46,protein
ZBTB47,protein
ZBTB48,protein
ZBTB49,protein
ZBTB5,protein
ZBTB6,protein
ZBTB7A,protein
ZBTB7B,protein
ZBTB7C,protein
ZBTB8A,protein
ZBTB8B,protein
ZBTB8OS,protein
ZBTB9,protein
ZC2HC1A,protein
ZC2HC1B,protein
ZC2HC1C,protein
ZC3H10,protein
ZC3H11A,protein
ZC3H11B,protein
ZC3H12A,protein
ZC3H12B,protein
ZC3H12C,protein
ZC3H12D,protein
ZC3H13,protein
ZC3H14,protein
ZC3H15,protein
ZC3H18,protein
ZC3H3,protein
ZC3H4,protein
ZC3H6,protein
ZC3H7A,protein
ZC3H7B,protein
ZC3H8,protein
ZC3HAV1,protein
ZC3HAV1L,protein
ZC3HC1,protein
ZC4H2,protein
ZCCHC10,protein
ZCCHC12,protein
ZCCHC13,protein
ZCCHC14,protein
ZCCHC17,protein
ZCCHC18,protein
ZCCHC2,protein
ZCCHC24,protein
ZCCHC3,protein
ZCCHC4,protein
